ACCOUNTNUMBER,FIRSTNAME,OPENINGDATE,AMOUNT,CREDITLIMIT
1193,Elwyn,2/15/2020,6.08,1.25
1950,Lorianne,3/22/2020,8.35,1.45
1599,Elyn,1/13/2020,2.63,5.81
1478,Hewie,1/23/2020,7.49,4.02
1721,Eolanda,3/31/2020,5.28,5.17
1104,Kelley,11/13/2019,9.8,3.45
1983,Donelle,10/2/2019,6.4,9.55
1103,Mirelle,8/22/2019,1.02,2.15
1615,Terrijo,3/14/2020,9.26,6.63
1555,Malissa,8/1/2019,7.43,6.53
1658,Brynn,12/16/2019,3.68,7.73
1136,Glynis,2/7/2020,4.67,3.18
1290,Angy,9/22/2019,5.66,9.51
1311,Stillman,6/15/2019,6.66,9.95
1421,Barron,7/7/2019,1.82,2.28
1851,Rebeka,12/26/2019,5.33,8.61
1099,Butch,6/27/2019,4.74,3.45
1190,Romain,8/4/2019,3.28,1.11
1814,Herbert,6/11/2020,6.32,1.65
1432,Isiahi,6/27/2019,3.52,3.18
1028,Meier,10/12/2019,4.29,6.21
1017,Sonnnie,1/9/2020,3.18,5.13
1526,Arty,11/28/2019,4.14,4.87
1914,Jackie,1/13/2020,6.91,8.42
1170,Rivalee,6/16/2019,9.67,1.62
1076,Terrance,5/6/2020,1.29,5.05
1547,Morrie,5/4/2020,5.27,3.34
1884,Brockie,12/7/2019,1.25,2.59
1343,Carmel,8/14/2019,4.88,5.04
1685,Francesco,4/2/2020,3.99,4.22
1222,Blithe,12/28/2019,9.49,4.38
1862,Emanuele,4/24/2020,2.81,5.75
1583,Kimmie,1/22/2020,5.34,6.86
1575,James,9/22/2019,9.7,1.23
1853,Andreana,1/10/2020,2.44,7.54
1384,Hermine,6/19/2019,5.7,5.52
1771,Lauralee,5/12/2020,9.13,9.02
1386,Shane,5/15/2020,3.74,6.09
1544,Rayshell,3/24/2020,6.6,3.48
1093,Victoir,12/7/2019,9.9,8.2
1537,Zandra,1/19/2020,9.78,2.06
1084,Oralie,9/23/2019,3.88,8.81
1034,Sharon,1/15/2020,7.87,8.03
1062,Corby,3/20/2020,7.83,5.11
1488,Peggy,10/13/2019,3.13,4.71
1615,Flori,8/22/2019,7.12,6.19
1784,Glennis,1/31/2020,4.7,1.87
1058,Bennie,10/12/2019,9.38,5.52
1347,Frank,7/21/2019,9.94,6.09
1401,Haskel,2/13/2020,9.33,8.74
1306,Langston,9/2/2019,7.82,9.64
1920,Valentino,3/9/2020,9.72,4.02
1818,Isahella,4/11/2020,2.22,2.82
1689,Boycie,3/5/2020,4.22,4.42
1140,Gustaf,6/16/2019,6.97,9.36
1132,Brianne,9/4/2019,2.77,8.38
1305,Douglass,9/30/2019,5.76,8.15
1280,Gisele,7/11/2019,4.05,2.02
1750,Rutherford,3/22/2020,1.28,5.52
1989,Alanah,1/4/2020,5.52,5.92
1220,Laurene,8/14/2019,5.39,6.29
1457,Erroll,7/17/2019,9.44,6.41
1930,Rebe,4/5/2020,5.13,8.41
1855,Tadeo,4/26/2020,6.77,5.56
1763,Willabella,11/11/2019,8.5,7.05
1684,Ingeberg,6/18/2019,9.17,5.5
1854,Dianemarie,2/28/2020,4.42,9.43
1091,Eadmund,9/18/2019,7.4,6.57
1608,Salim,5/16/2020,3.32,3.26
1395,Justen,4/15/2020,3.6,2.0
1690,Dallas,6/29/2019,9.33,8.94
1289,Leigh,12/24/2019,7.98,9.44
1356,Angie,5/1/2020,5.69,6.6
1916,Shurlock,7/29/2019,1.68,8.64
1454,Guilbert,9/30/2019,5.27,9.91
1852,Bobbe,12/4/2019,7.13,5.7
1818,Chan,10/2/2019,3.77,7.36
1465,Meredith,12/8/2019,7.3,9.08
1401,Patrica,12/23/2019,7.56,5.1
1297,Allis,2/5/2020,4.8,5.1
1512,Hedi,8/19/2019,1.85,2.9
1332,Patrizio,12/31/2019,7.32,6.75
1615,Wrennie,7/29/2019,7.71,6.99
1368,Agata,4/19/2020,7.77,6.46
1958,Leanna,9/11/2019,3.65,9.56
1400,Flossi,6/28/2019,4.08,5.94
1690,Huntlee,7/11/2019,6.37,3.83
1066,Stevena,9/18/2019,2.6,1.47
1957,Franklin,11/13/2019,5.14,4.11
1670,Timothea,7/17/2019,3.48,2.45
1712,Verena,12/29/2019,8.87,6.85
1665,Eveleen,3/12/2020,2.26,7.09
1834,Josephina,3/20/2020,7.99,2.95
1577,Thurston,9/7/2019,1.39,6.61
1343,Graehme,1/4/2020,3.73,3.39
1830,Laure,3/25/2020,7.55,3.73
1391,Sileas,10/17/2019,3.15,9.19
1174,Gray,9/21/2019,3.27,9.02
1499,Hunt,6/3/2020,2.47,9.82
1690,Elisabeth,6/7/2020,8.86,9.12
1669,Nikki,4/8/2020,2.33,6.92
1505,Gabie,4/16/2020,8.4,7.1
1925,Mamie,4/11/2020,7.64,1.72
1415,Cherrita,6/19/2019,3.59,6.53
1673,Malcolm,6/1/2020,8.18,9.04
1115,Ax,5/11/2020,1.72,9.44
1697,Suzann,9/18/2019,3.18,7.16
1414,Shaun,5/9/2020,6.79,9.44
1738,Leonid,1/2/2020,9.46,6.3
1429,Laurene,6/9/2020,8.4,8.28
1084,Anitra,8/6/2019,8.5,5.81
1435,Rolph,11/19/2019,3.92,9.36
1149,Georgetta,11/9/2019,6.52,9.81
1552,Christopher,11/3/2019,1.75,8.09
1962,Scott,12/28/2019,7.66,5.35
1061,Lynette,10/15/2019,9.75,3.33
1303,Ricard,8/14/2019,3.77,4.24
1047,Audry,10/15/2019,3.41,9.08
1873,Buddie,10/24/2019,4.3,4.32
1793,Kristian,6/26/2019,8.23,6.74
1727,Cornelius,6/25/2019,3.32,4.3
1618,Tye,12/2/2019,9.19,3.97
1479,Alvira,1/27/2020,2.56,2.19
1966,Oby,9/15/2019,4.09,9.46
1521,Gottfried,8/5/2019,8.38,5.61
1139,Winifred,12/10/2019,1.62,6.2
1540,Karole,12/29/2019,2.89,7.18
1278,Wendeline,2/29/2020,1.71,5.33
1622,Theobald,8/10/2019,8.67,6.24
1883,Valry,2/15/2020,2.71,1.81
1662,Phyllida,1/25/2020,9.19,7.04
1168,Base,7/13/2019,2.47,1.4
1680,Haywood,12/17/2019,4.13,2.15
1420,Danni,7/11/2019,9.66,9.79
1520,Pooh,2/13/2020,6.32,6.47
1567,Durant,9/8/2019,3.86,3.61
1268,Almire,5/10/2020,8.85,1.44
1743,Garald,1/6/2020,1.81,9.25
1197,Hermina,12/9/2019,2.64,2.64
1399,Rudiger,12/3/2019,7.86,3.53
1707,Mirella,3/25/2020,4.32,3.93
1814,Dev,10/2/2019,7.61,2.03
1989,Ernesta,4/1/2020,7.0,3.21
1913,Karoly,7/24/2019,7.21,6.12
1771,Raquel,10/14/2019,8.06,3.83
1004,Jack,2/21/2020,6.03,4.63
1419,Theodora,4/25/2020,2.97,8.07
1858,Shina,9/8/2019,9.37,8.67
1590,Augie,2/2/2020,5.96,3.81
1817,Belle,4/14/2020,9.35,7.76
1727,Belia,4/4/2020,5.09,3.99
1875,Boniface,3/2/2020,4.52,6.12
1411,Jeremy,12/28/2019,3.27,4.91
1220,Lenore,5/17/2020,3.44,4.6
1772,Deana,8/2/2019,6.91,2.49
1036,Gabriello,4/30/2020,9.02,7.46
1186,Domini,4/21/2020,9.85,5.24
1295,Lorene,6/3/2020,9.73,7.73
1701,Joyann,11/13/2019,2.62,4.39
1234,Doloritas,6/8/2020,5.51,5.09
1274,Melicent,11/27/2019,9.52,6.73
1035,Aleda,12/23/2019,4.33,3.87
1950,Oriana,12/19/2019,1.22,3.89
1774,Gannie,6/18/2019,9.55,3.2
1506,Will,1/29/2020,9.26,3.89
1252,Skylar,6/29/2019,6.86,1.82
1990,Odele,6/21/2019,5.42,1.89
1696,Rolland,3/11/2020,6.86,3.51
1872,Rich,5/18/2020,8.95,8.62
1476,Gerladina,10/21/2019,3.43,8.53
1520,Corby,1/2/2020,9.19,2.55
1054,Emili,11/9/2019,6.03,1.85
1827,Andra,7/24/2019,9.94,4.93
1599,Arvy,6/24/2019,9.01,5.51
1326,Melantha,4/10/2020,9.33,5.64
1546,Forester,7/18/2019,4.25,7.39
1752,Hortense,6/6/2020,6.0,4.39
1650,Kerry,9/15/2019,8.89,7.52
1846,Lynett,1/24/2020,1.26,9.47
1553,Devondra,5/16/2020,7.88,4.49
1086,Ileana,1/30/2020,8.61,2.59
1745,Caril,1/25/2020,5.37,5.63
1119,Cordy,4/20/2020,8.46,1.93
1107,Huntlee,11/30/2019,1.7,2.66
1571,Maureen,12/25/2019,2.53,7.72
1672,Toddy,4/12/2020,6.8,7.4
1823,Dorisa,12/11/2019,5.85,8.33
1863,Binny,2/24/2020,2.43,1.49
1581,Damien,8/6/2019,3.4,8.11
1110,Darya,10/7/2019,4.39,6.68
1884,Bambie,1/28/2020,1.92,1.27
1333,Cristian,11/2/2019,1.09,9.51
1835,Emelen,10/22/2019,8.87,8.8
1715,Emmey,7/18/2019,2.04,1.68
1539,Frannie,10/27/2019,9.59,4.42
1672,Tammie,4/1/2020,1.47,2.61
1771,Hersch,6/30/2019,3.0,4.89
1167,Wilfrid,8/25/2019,9.29,1.87
1930,Johannes,1/18/2020,7.34,3.6
1295,Delilah,8/9/2019,6.08,9.9
